text,intent
"¿Quién es Luis Quispe Inquil?",biografia
"¿Quién es Luis?",biografia
"Háblame de Luis",biografia
"Cuéntame sobre Luis",biografia
"Resume el perfil de Luis",biografia
"¿Cuál es el perfil profesional de Luis?",biografia
"¿A qué se dedica Luis?",biografia
"¿Cuál es la experiencia de Luis?",experiencia_general
"¿Dónde ha trabajado Luis?",experiencia_general
"¿Qué experiencia profesional tiene Luis?",experiencia_general
"Háblame de la experiencia laboral de Luis",experiencia_general
"¿Luis tiene experiencia en datos?",experiencia_datos
"¿Qué sabe Luis de ciencia de datos?",experiencia_datos
"¿Luis es científico de datos?",experiencia_datos
"¿Luis sabe trabajar con datos?",experiencia_datos
"¿Qué experiencia tiene Luis en ingeniería de datos?",experiencia_datos
"¿Luis ha trabajado con modelos predictivos?",experiencia_datos
"¿Luis ha trabajado en banca?",experiencia_banca
"¿Tiene experiencia en el sector financiero?",experiencia_banca
"¿Qué experiencia tiene Luis en bancos?",experiencia_banca
"¿Luis trabajó en BanBif?",experiencia_banca
"¿Luis conoce procesos bancarios?",experiencia_banca
"¿Luis tiene experiencia en minería?",experiencia_mineria
"¿Ha trabajado en proyectos mineros?",experiencia_mineria
"¿Qué sabe Luis de minería?",experiencia_mineria
"¿Luis ha trabajado con datos de minería?",experiencia_mineria
"¿Qué proyectos mineros ha desarrollado Luis?",experiencia_mineria
"¿Qué tecnologías domina Luis?",habilidades
"¿Qué herramientas maneja Luis?",habilidades
"¿Qué skills tiene Luis?",habilidades
"¿Luis sabe Python?",habilidades_python
"¿Qué experiencia tiene Luis con Python?",habilidades_python
"¿Luis programa en Python?",habilidades_python
"¿Luis sabe SQL?",habilidades_sql
"¿Qué experiencia tiene Luis con SQL?",habilidades_sql
"¿Luis domina bases de datos?",habilidades_sql
"¿Luis sabe Power BI?",habilidades_bi
"¿Qué experiencia tiene Luis con dashboards?",habilidades_bi
"¿Luis hace reportes?",habilidades_bi
"¿Luis sabe AWS?",habilidades_cloud
"¿Luis conoce Azure?",habilidades_cloud
"¿Qué experiencia tiene Luis en cloud?",habilidades_cloud
"¿Qué proyectos ha desarrollado Luis?",proyectos
"Muéstrame proyectos de Luis",proyectos
"¿Cuáles son los proyectos más importantes de Luis?",proyectos
"¿Luis ha hecho proyectos de automatización?",proyectos_automatizacion
"¿Luis automatiza procesos?",proyectos_automatizacion
"¿Qué automatizaciones ha hecho Luis?",proyectos_automatizacion
"¿Qué estudió Luis?",educacion
"¿Cuál es la formación académica de Luis?",educacion
"¿Luis tiene estudios universitarios?",educacion
"¿Por qué contratar a Luis?",propuesta_valor
"¿Cuál es la propuesta de valor de Luis?",propuesta_valor
"¿Qué diferencia a Luis de otros candidatos?",propuesta_valor
"¿Qué valor puede aportar Luis a una empresa?",propuesta_valor
"¿Cómo puedo contactar a Luis?",contacto
"¿Cuál es el correo de Luis?",contacto
"¿Dónde puedo ver el CV de Luis?",contacto
"¿Luis tiene certificaciones?",certificaciones
"¿Qué certificaciones tiene Luis?",certificaciones
"¿Luis está estudiando certificaciones?",certificaciones
"¿Luis tiene certificaciones cloud?",certificaciones
"¿Qué cursos o certificaciones está siguiendo Luis?",certificaciones
"¿Dónde puedo ver el CV de Luis?",cv
"¿Luis tiene CV disponible?",cv
"¿Puedo descargar el CV de Luis?",cv
"¿Dónde está el currículum de Luis?",cv
"Muéstrame el CV de Luis",cv
"¿Luis sabe machine learning?",habilidades_machine_learning
"¿Luis trabaja con inteligencia artificial?",habilidades_machine_learning
"¿Qué experiencia tiene Luis con IA?",habilidades_machine_learning
"¿Luis ha entrenado modelos de machine learning?",habilidades_machine_learning
"¿Luis conoce modelos predictivos?",habilidades_machine_learning
"¿Cuáles son los objetivos profesionales de Luis?",objetivos_profesionales
"¿Qué busca Luis profesionalmente?",objetivos_profesionales
"¿Cuál es la meta profesional de Luis?",objetivos_profesionales
"¿Hacia dónde quiere crecer Luis?",objetivos_profesionales
